ref,ref number from paper,reference link,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL energy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),Voc (V),Jsc (mA cm^-2),FF (%),PCE (%)
174,86,link,10.1002/adfm.201702194,PBDB-T,,,,-5.23,-3.18,,,ITCPTC-Th,-5.68,-4.03,,1.6,1:1,CB,2500,20,DIO,0.5,100,25,0,MoOx,,3,ZnO,,,8.76E-04,7.46E-04,0.856,17.05,72.7,10.61
175,86,link,10.1002/adfm.201702194,PBDB-T,,,,-5.23,-3.18,,,ITCPTC-Se,-5.65,-4,,1.59,1:1,CB,2500,20,DIO,0.5,100,25,0,MoOx,,3,ZnO,,,6.96E-04,4.95E-04,0.869,15.2,68.3,9.02
176,87,link,10.1039/C8TA07954D,PTB7-Th,,,,-5.22,-3.64,,,IEICO-4F,-5.44,-4.19,,,1:1.5,CB,,37.5,DIO,,100,100,10,PEDOT:PSS,,,PFN-Br,,5,2.11E-04,7.21E-05,0.72,25.16,61.45,11.13
177,87,link,10.1039/C8TA07954D,PBDB-T,,,,-5.33,-3.53,,,ITCC,-5.47,-3.76,,,1:1,CB,,20,DIO,,100,100,10,PEDOT:PSS,,,PFN-Br,,5,1.15E-04,2.52E-04,0.98,16.14,71.32,11.28
178,88,link,10.1039/C8SC02018C,PBDB-T,,,,,,,,MeIC,-5.57,-3.94,,1.53,1:1,CB,,20,DIO,0.5,100,120,8,PEDOT:PSS,,40,PDIN,,10,7.61E-04,3.63E-04,0.896,18.07,74.3,12.03
179,89,link,10.1016/j.dyepig.2017.01.039,PTB7-Th,,,,-5.31,-3.71,,,IFTIC,-5.42,-3.85,,1.82,1:2,o-DCB,2000,25,_,0,85,25,0,MoOx,,10,ZnO,,35,8.24E-05,3.02E-05,0.9,11.85,53.5,5.77
180,90,link,10.1039/C5TA05901A,PBDTTT-C-T,,,,-5.11,-3.25,,,IDT-2BM,-5.6,-3.8,,1.6,1.5:1,o-DCB,,30,CN,6,,25,0,PEDOT:PSS,,35,Ca,,20,8.30E-05,5.00E-07,0.76,9.81,54.4,4.19
181,90,link,10.1039/C5TA05901A,PBDTTT-C-T,,,,-5.11,-3.25,,,IDTT-2BM,-5.5,-3.8,,1.54,1.5:1,o-DCB,,30,DIO,3,,25,0,PEDOT:PSS,,35,Ca,,20,1.70E-03,2.80E-06,0.845,9.67,56.8,4.70
182,91,link,10.1039/c7ta05774a,PTB7-Th,,,,-5.42,-3.81,,,IDT-T,-5.41,-3.96,,1.45,1:1.3,CB,,10,CN,1.5,,25,0,MoOx,,10,ZnO,,,3.10E-04,7.50E-05,0.84,9.54,50.9,4.08
183,91,link,10.1039/c7ta05774a,PBDB-T,,,,-5.21,-3.41,,,IDT-Tz,-5.62,-4.09,,1.53,1:1,CB,,10,CN,1.5,,25,0,MoOx,,10,ZnO,,,,,0.88,13.67,70.8,8.52
192,92,link,10.1039/c6ta00612d,PTB7-Th,,,,-5.22,-3.64,,,IDT-IC,-5.61,-3.88,,1.72,1:1.5,o-DCB,1500,,_,0,127,150,10,PEDOT:PSS,-5.1,,PDINO,,,,2.09E-05,0.83,9.53,40,3.16
185,93,link,10.1039/C4EE03424D,PTB7-Th,,,,-5.2,-3.59,,,IEIC,-5.42,-3.82,,1.57,1:1.5,o-DCB,1000,25,_,0,110,25,0,PEDOT:PSS,,30,PDIN,,14,4.50E-04,1.00E-04,0.97,13.55,48,6.31
186,94,link,10.1039/C7TA06631G,PTB7-Th,,,,-5.22,-3.64,,,IDT-N,-5.73,-4.08,,1.66,1:1,CF,2000,10,_,0,100,100,10,PEDOT:PSS,,,PNDIT-F3N-Br,,5,,,0.73,13.02,57.7,5.50
187,94,link,10.1039/C7TA06631G,PTB7-Th,,,,-5.22,-3.64,,,IDT-T-N,-5.58,-4.06,,1.52,1:1,CF,2000,10,CN,2,100,100,10,PEDOT:PSS,,,PNDIT-F3N-Br,,5,,,0.87,14.67,51.38,6.60
188,94,link,10.1039/C7TA06631G,PBDB-T,,,,-5.33,-3.53,,,IDT-N,-5.73,-4.08,,1.66,1:1,CF,2000,10,CN,0.25,100,100,10,PEDOT:PSS,,,PNDIT-F3N-Br,,5,4.57E-04,2.87E-04,0.79,15.88,71.91,8.99
189,94,link,10.1039/C7TA06631G,PBDB-T,,,,-5.33,-3.53,,,IDT-T-N,-5.58,-4.06,,1.52,1:1,CF,2000,10,CN,2,100,100,10,PEDOT:PSS,,,PNDIT-F3N-Br,,5,1.43E-04,6.07E-05,0.94,14.03,56.11,7.40
0,95,link,10.1039/C8TA08410F,PBDB-T,,,,-5.23,-3.42,,,IDT-EDOT,-5.43,-3.8,,1.41,1:1.2,o-DCB,1200,,DIO,0.2,100,25,0,MoOx,,8.5,ZnO,,,,,0.86,21.34,62,11.32
191,95,link,10.1039/C8TA08410F,PBDB-T,,,,-5.23,-3.42,,,IDT-PDOT,-5.39,-3.77,,1.43,1:0.5,o-DCB,1200,,_,0,100,25,0,MoOx,,8.5,ZnO,,,,,0.85,5.26,48.9,2.18
193,96,link,10.1039/C8TA11972D,PTB7-Th,,,,-5.2,-3.6,,,p-IDTIDT-IC,-5.42,-3.82,,1.53,1:1.5,o-DCB,1500,25,_,0,150,150,2,PEDOT:PSS,,,PDINO,,,,4.54E-05,0.94,14.49,47.5,6.48
194,97,link,10.1039/C7TA10461H,PBDB-TF,2.3,22.9,,-5.48,-3.64,,1.8,IDT-C6,-5.59,-3.35,,1.65,1:1,CF,,16,DIO,0.5,110,100,10,PEDOT:PSS,,10,PFN-Br,,5,3.39E-04,3.85E-04,0.96,17.5,74,12.50
195,97,link,10.1039/C7TA10461H,PBDB-TF,2.3,22.9,,-5.48,-3.64,,1.8,IDT-PhC6,-5.56,-3.32,,1.74,1:1,CF,,16,DIO,0.5,100,100,10,PEDOT:PSS,,10,PFN-Br,,5,2.06E-04,1.37E-05,1,13,43,5.60
196,98,link,10.1039/C7TC00706J,PTB7-Th,,,,,,,,IDT-2BM,-5.56,-3.65,,1.63,1:1.5,CB,3000,,DPE,2,,25,0,MoOx,,10,ZnO,,,2.87E-03,6.83E-05,0.826,9.29,52,3.97
197,99,link,10.1002/aenm.201802050,FTAZ,,,,,,,,IDCIC,-5.19,-3.72,,1.45,,CF,,23.3,CN:DIO (1:1),0.25,120,100,20,MoOx,,5,ZnO,,30,3.00E-04,1.50E-04,0.87,21.98,71.03,13.58
198,100,link,10.1021/acs.chemmater.7b02811,PBDB-T,,,,-5.33,-2.92,,,FDNCTF,-5.42,-3.73,,1.6,1:0.8,CB,1500,19.8,_,0,120,25,0,PEDOT:PSS,,30,PDINO,,,1.77E-04,1.00E-04,0.94,15.8,66,10.00
199,100,link,10.1021/acs.chemmater.7b02811,PBDB-T,,,,-5.33,-2.92,,,FDICTF,-5.43,-3.71,,1.63,1:0.8,CB,1500,19.8,_,0,120,25,0,PEDOT:PSS,,30,PDINO,,,3.37E-05,2.40E-05,0.93,16.3,72.5,11.20
200,101,link,10.1021/acs.chemmater.7b03770,PTB7-Th,,,,-4.9,-3.32,,,DTNR,-5.22,-3.5,,1.72,1:1.5,CB,2300,20,CN,1,90,25,0,MoOx,,10,ZnO,,,1.84E-05,2.45E-05,1.08,15.72,56,9.51
201,102,link,10.1021/acs.chemmater.7b02887,PBDB-T,,,,-5.33,-2.92,,,DTNIC6,-5.87,-3.92,,1.7,1:1,CB,2500,18,_,0,100,25,0,MoOx,,10,TiO2:TOPD,,,1.30E-05,3.20E-06,0.96,7.71,45.63,3.39
202,102,link,10.1021/acs.chemmater.7b02887,PBDB-T,,,,-5.33,-2.92,,,DTNIC8,-5.91,-3.93,,1.73,1:1,CB,2500,18,_,0,100,25,0,MoOx,,10,TiO2:TOPD,,,3.10E-05,2.80E-05,0.96,12.92,72.84,9.03
203,103,link,10.1039/C7TA01143A,PTB7-Th,,,,-5.2,-3.56,,,DTCC-IC,-5.5,-3.87,,1.59,1:1,CF,2000,13,CN,1,,100,5,PEDOT:PSS,,,Ca,,20,6.76E-04,1.52E-03,0.95,11.23,56.2,6.00
204,104,link,10.1016/j.dyepig.2017.03.015,P3HT,,,,-5.1,-3.1,,,DNIT-TT2T,-5.94,-3.75,,2.19,1:1,o-DCB,,,_,0,80,130,,PEDOT:PSS,,40,Ca,,10,,,0.88,3.28,43.47,1.25
205,105,link,10.1039/C6TA04358E,PTB7-Th,,,,-4.9,-3.32,,,DICTF,-5.67,-3.79,,1.82,1:1.4,CF,,,_,0,,100,,PEDOT:PSS,,40,PDIN,,,3.82E-04,1.93E-04,0.85,16.33,55,7.63
206,106,link,10.1039/C7TA04703G,P1_BDT-TBT,,,,-5.1,-3.48,,1.6,PY1,-5.27,-4,,1.4,1:2,CF,2000,18,DIO,3,,25,0,PEDOT:PSS,,40,PFN-Br,,,2.17E-04,1.06E-04,0.83,10.53,56,4.89
207,106,link,10.1039/C7TA04703G,P1_BDT-TBT,,,,-5.1,-3.48,,1.6,DCI-2,-5.24,-4.05,,1.23,1:2,CF,2000,18,DIO,3,,25,0,PEDOT:PSS,,40,PFN-Br,,,1.14E-04,2.21E-04,0.8,13.77,63,6.94
208,107,link,10.1016/j.jechem.2015.10.002,PBDTTT-C-T,,,,,,,,DC-IDT2F,-5.44,-3.88,,1.54,2:1,o-DCB,,20,_,0,,25,0,MoOx,,10,PEIE,,,1.20E-04,4.10E-04,0.96,6.32,50.8,3.08
209,108,link,10.1016/j.dyepig.2017.12.054,PTB7-Th,,,,-5.22,-3.64,,,IM-IDT,-5.44,-4,,1.48,1:1,o-DCB,,10,DPE,1,,100,,PEDOT:PSS,,,Ca,,20,3.48E-07,1.85E-07,0.58,4.96,49.16,1.60
210,108,link,10.1016/j.dyepig.2017.12.054,PTB7-Th,,,,-5.22,-3.64,,,TIM-IDT,-5.36,-4.01,,1.43,1:1,o-DCB,,10,_,0,,25,0,PEDOT:PSS,,,Ca,,20,1.52E-06,3.42E-07,0.6,5.26,45.53,1.63
211,109,link,10.1002/aenm.201801212,PTB7-Th,,,,-5.2,-3.61,,,COTIC-4F,-5.26,-4.16,,1.1,1:1.5,CB,1050,20,CN,2,73,25,0,MoOx,,6,ZnO,,35,2.10E-04,8.50E-05,0.56,20.3,56.3,6.40
212,109,link,10.1002/aenm.201801212,PTB7-Th,,,,-5.2,-3.61,,,SiOTIC-4F,-5.28,-4.11,,1.17,1:1.5,CF,1050,20,CN,2,75,25,0,MoOx,,6,ZnO,,35,3.30E-04,9.80E-05,0.65,21.6,61.4,8.60
213,110,link,10.1039/C8TC03963A,P3HT,,,,-4.77,-2.09,,,BTA100,-5.32,-3.23,,2.05,1:1,CF,,15,_,0,82,100,,PEDOT:PSS,,,Ca,,20,4.40E-08,6.85E-09,1.34,1.65,47,1.04
214,110,link,10.1039/C8TC03963A,P3HT,,,,-4.77,-2.09,,,BTA101,-5.41,-3.55,,1.88,1:1,CF,,15,_,0,82,120,,PEDOT:PSS,,,Ca,,20,2.28E-07,1.44E-07,1.19,5.33,56,3.55
215,110,link,10.1039/C8TC03963A,P3HT,,,,-4.77,-2.09,,,BTA103,-5.37,-3.61,,1.76,1:2,CF,,15,_,0,82,120,,PEDOT:PSS,,,Ca,,20,1.46E-06,3.52E-05,0.94,8.56,66,5.31
216,111,link,10.1002/aenm.201702831,PTB7-Th,,,,,,,,6TIC,-5.21,-3.83,,1.38,1:1.5,CB,,25,DIO,0.25,100,150,10,MoOx,,6,ZnO,,,,7.00E-04,0.831,20.11,66.16,11.07
217,112,link,10.1016/j.scib.2017.10.017,PTB7-Th,,,,-5.39,-3.12,,,COi8DFIC,-5.5,-3.88,,1.26,1:1,CB,,18,DIO,1,124,25,0,MoOx,,6,ZnO,,30,,,0.68,26.12,68.2,12.16
218,113,link,10.1007/s11426-016-0336-6,PTB7-Th,,,,,,,,IDT-2BR,-5.52,-3.69,,1.68,1:1,o-DCB:CF (4:1),,15,CN,3,80,25,0,PEDOT:PSS,,35,Ca,,20,6.70E-04,1.70E-04,0.99,14,60,7.70
219,113,link,10.1007/s11426-016-0336-6,PTB7-Th,,,,,,,,IDT-2BR1,-5.37,-3.67,,1.61,1:1,o-DCB:CF (4:1),,15,CN,3,80,25,0,PEDOT:PSS,,35,Ca,,20,1.50E-04,3.90E-04,0.95,15.2,60,8.70
220,114,link,10.1002/aenm.201606574,PTB7-Th,,,,-5.2,-3.6,,,ATT-2,-5.5,-3.9,,1.32,1:1.8,CB,,22.4,CN,2,,25,0,MoOx,,5,ZnO,,30,5.10E-04,3.69E-04,0.73,20.75,63,9.58
221,115,link,10.1002/adma.201803769,PTB7-Th,,,,-5.2,-3.63,,,IFIC-i-2F,-5.42,-3.91,,1.34,1:1.8,CB,2000,20,_,0,120,25,0,MoOx,,4,ZnO,,,5.09E-04,2.26E-04,0.72,20.95,65,9.82
222,115,link,10.1002/adma.201803769,PTB7-Th,,,,-5.2,-3.63,,,IFIC-i-4F,-5.34,-3.96,,1.3,1:1.8,CB,2000,20,_,0,120,25,0,MoOx,,4,ZnO,,,5.36E-04,4.68E-04,0.67,22.65,66,10.10
223,115,link,10.1002/adma.201803769,PTB7-Th,,,,-5.2,-3.63,,,IFIC-i-6F,-5.31,-4,,1.27,1:1.8,CB,2000,20,_,0,120,25,0,MoOx,,4,ZnO,,,4.54E-04,7.88E-04,0.61,22,70,9.43
224,116,link,10.1021/jacs.6b08523,PTB7-Th,,,,,,,,ATT-1,-5.5,-3.63,,1.54,1:1.5,o-DCB,,25,DIO,1,130,25,0,PEDOT:PSS,,,PFN-Br,,,5.13E-04,2.40E-04,0.87,16.48,70,10.07
225,117,link,10.1021/jacs.6b00853,PDBT-T1,,,,-5.36,-3.43,,,IC-C6IDT-IC,-5.69,-3.91,,1.62,1:1,CF,3000,12,_,0,90,25,0,MoOx,,5,ZnO,,,5.10E-05,2.90E-04,0.89,15.05,65,8.71
226,118,link,10.1021/acs.chemmater.7b01335,PBDTT-6ttTPD,2.59,25.9,,-5.36,-3.51,,1.85,ITIC,-5.8,-4.21,,1.59,1:1,CF,,12,DIO,0.5,100,25,0,MoOx,,10,ZnO,,30,2.64E-04,1.03E-04,0.942,15.63,67.8,9.98
227,118,link,10.1021/acs.chemmater.7b01335,PMOT16,1.98,58.6,,-5.52,-3.66,,1.86,ITIC,-5.8,-4.21,,1.59,1:1,CF,,12,DIO,0.5,100,25,0,MoOx,,10,ZnO,,30,1.09E-03,1.23E-04,1.001,13,58.7,7.63
228,118,link,10.1021/acs.chemmater.7b01335,PBDTT-6ttTPD,2.59,25.9,,-5.36,-3.51,,1.85,IDIC,-5.92,-4.31,,1.61,1:1,CF,,12,DIO,0.5,100,25,0,MoOx,,10,ZnO,,30,5.03E-04,1.34E-04,0.822,15.93,65.5,8.58
229,118,link,10.1021/acs.chemmater.7b01335,PMOT16,1.98,58.6,,-5.52,-3.66,,1.86,IDIC,-5.92,-4.31,,1.61,1:1,CF,,12,DIO,0.5,100,25,0,MoOx,,10,ZnO,,30,9.14E-04,3.23E-04,0.925,16.13,67.3,10.04
230,119,link,10.1039/C8TA05868G,PTZP,1.69,31.33,,-5.41,-3.4,,2.01,IDIC,-5.64,-3.94,,,1:1.5,CB,,18,DIO,0.75,100,25,0,PEDOT:PSS,,,PFN-Br,,,4.51E-04,3.31E-04,0.9,17.9,73.3,11.80
231,120,link,10.1002/adma.201804215,PffBT2T-TT,,,,-5.42,-3.52,,1.63,O-IDTBR,-5.51,-3.55,,1.63,1:1.5,"1,2,4-trimethylbenzene",1350,17.5,_,0,,90,5,V2O5,,7,ZnO,,23,,,1.08,14.32,67,10.40
232,121,link,10.1002/aenm.201801609,PffBT4T-2OD,,,,,,,1.67,EH-IDTBR,,,,,1:1.5,o-xylene,,,_,0,100,100,5,MoOx,,10,ZnO,,,1.00E-03,1.00E-05,1.08,14.65,60,9.50
233,122,link,10.1016/j.orgel.2017.02.008,PTB7-Th,,,,-5.15,-3.44,,,IDT-BT-R,-5.3,-3.56,,1.69,1:1.5,o-DCB,1500,25,_,0,100,150,60,PEDOT:PSS,,40,Ca,,8,7.70E-03,1.20E-04,1.02,13.6,59.1,8.20
234,122,link,10.1016/j.orgel.2017.02.008,PTB7-Th,,,,-5.15,-3.44,,,IDT-BT-R-CN,-5.38,-3.67,,1.63,1:2,o-DCB,1600,25,_,0,100,150,60,PEDOT:PSS,,40,Ca,,8,1.30E-03,8.70E-05,0.88,12.4,50.1,5.50
235,123,link,10.1039/C8TC04608E,P3HT,,,,-5,-3.59,,,I-IDTBTRh,-5.42,-3.68,,1.89,1:0.8,CF,,,_,0,,140,,PEDOT:PSS,,,Ca,,,2.32E-06,1.15E-05,0.86,8.81,71,5.38
236,124,link,10.1002/aenm.201602269,P3HT,,,,-5,-3.1,,,BTA1,-5.51,-3.55,,1.85,1:0.6,CF,600,15,CN,0.8,,100,10,PEDOT:PSS,,,Ca,,20,1.10E-06,1.60E-05,1.02,7.34,70,5.24
237,125,link,10.1021/acsmacrolett.7b00097,P3HT,,,,-5,-3.1,,,BTA2,-5.43,-3.38,,2,0.6:1,CF,,15,DIO,0.8,,100,10,PEDOT:PSS,,,Ca,,20,4.90E-04,3.40E-04,1.22,6.15,60,4.50
238,126,link,10.1038/ncomms13651,J71,2,23.5,,-5.4,-3.24,,1.96,ITIC,-5.51,-3.84,,,1:1,CF,3000,12,_,0,100,150,10,PEDOT:PSS,,,PDINO,,10,2.08E-04,9.60E-05,0.94,17.32,69.77,11.41
239,127,link,10.1039/C5EE02477C,P3HT,,,,,,,,IDT-2BR,-5.52,-3.69,,1.69,1:0.6,o-DCB,,25,CN,3,80,25,0,PEDOT:PSS,,35,Ca,,20,2.00E-04,2.60E-04,0.84,8.91,68.1,5.12
240,128,link,10.1002/anie.201610944,PTB7-Th,,,,-5.24,-3.66,,,IEICO-4F,-5.15,-3.41,,1.24,1:1.5,CB,,25,DIO,1,100,100,10,PEDOT:PSS,,10,PFN-Br,,5,,,0.739,22.8,59.4,10.00
241,128,link,10.1002/anie.201610944,J52,,,,-5.21,-2.99,,,IEICO-4F,-5.15,-3.41,,1.24,1:1.5,CB,,25,DIO,1,100,100,10,PEDOT:PSS,,10,PFN-Br,,5,,,0.734,21.9,58.5,9.40
242,129,link,10.1002/adma.201502775,PffT2-FTAZ-2DT,,,,-5.28,-3.37,,1.91,IEIC,-5.45,-3.88,,1.57,1:1,CB,1350,6,_,0,80,90,5,V2O5,,20,ZnO,,,,,0.998,12.2,59,7.20
243,130,link,10.1016/j.dyepig.2016.12.065,PTB7-Th,,,,,,,,IEIC1,-5.44,-3.87,,1.62,10:6,o-DCB,1000,,CN,3,,25,0,PEDOT:PSS,,30,Ca,,20,1.20E-04,2.00E-04,0.84,9.9,44,3.90
244,130,link,10.1016/j.dyepig.2016.12.065,PTB7-Th,,,,,,,,IEIC2,-5.45,-3.87,,1.6,10:12,o-DCB,1000,,CN,1,,25,0,PEDOT:PSS,,30,Ca,,20,2.70E-04,4.50E-04,0.91,11.1,50,5.40
245,130,link,10.1016/j.dyepig.2016.12.065,PTB7-Th,,,,,,,,IEIC3,-5.46,-3.86,,1.6,10:15,o-DCB,1000,,CN,2,,25,0,PEDOT:PSS,,30,Ca,,20,4.50E-03,6.00E-03,0.93,12.8,58,7.40
246,130,link,10.1016/j.dyepig.2016.12.065,PTB7-Th,,,,,,,,IEIC,-5.48,-3.85,,1.61,10:15,o-DCB,1000,,_,0,,25,0,PEDOT:PSS,,30,Ca,,20,2.00E-04,2.50E-04,0.95,12.3,49,6.00
247,131,link,10.1002/adma.201602776,PBDB-T,,,,-5.33,-3.53,,,IT-M,-5.58,-3.98,,1.6,1:1,CB,,20,DIO,1,100,160,30,MoOx,,10,ZnO,,30,3.33E-04,1.10E-04,0.94,17.44,73.5,12.05
248,131,link,10.1002/adma.201602776,PBDB-T,,,,-5.33,-3.53,,,IT-DM,-5.56,-3.93,,1.62,1:1,CB,,20,DIO,1,100,160,30,MoOx,,10,ZnO,,30,2.29E-04,4.70E-05,0.97,16.48,70.6,11.29
249,132,link,10.1021/acsami.7b09915,PBDB-ST,,,,-5.37,-3.59,,1.81,ITIC-SC6,-5.68,-3.91,,1.6,1:1,o-DCB,,8,CBA,0.1,80,25,0,MoOx,,8.5,ZnO,,30,2.43E-04,2.15E-04,0.9,13.87,58,7.27
250,132,link,10.1021/acsami.7b09915,PBDB-ST,,,,-5.37,-3.59,,1.81,ITIC-SC8,-5.7,-3.9,,1.6,1:1,o-DCB,,8,CBA,0.2,80,25,0,MoOx,,8.5,ZnO,,30,3.13E-04,2.93E-04,0.9,14.43,60,7.79
251,132,link,10.1021/acsami.7b09915,PBDB-ST,,,,-5.37,-3.59,,1.81,ITIC-SC2C6,-5.74,-3.86,,1.6,1:1,o-DCB,,8,CBA,0.3,80,25,0,MoOx,,8.5,ZnO,,30,5.62E-04,5.43E-04,0.92,15.32,64,9.16
252,133,link,10.1021/jacs.6b02004,PTB7-Th,,,,-5.2,-3.56,,,ITIC-Th,-5.66,-3.93,,1.6,1:1.3,o-DCB,800,20,CN,3,120,25,0,MoOx,,5,ZnO,,,1.80E-04,3.90E-04,0.8,15.93,68,8.70
253,133,link,10.1021/jacs.6b02004,PDBT-T1,,,,-5.36,-3.43,,,ITIC-Th,-5.66,-3.93,,1.6,1:1,CF,3000,12,CN,1,100,25,0,MoOx,,5,ZnO,,,2.60E-04,3.70E-04,0.88,16.24,67.1,9.60
254,134,link,10.1038/s41560-018-0263-4,P2F-EH,2.32,20.5,47.6,-5.36,-3.04,,1.85,ITIC,-5.64,-3.89,,1.6,1:1,CF,1000,11,_,0,100,100,5,PEDOT:PSS,,40,PFNDI-Br,,,,,0.983,12.4,50.48,6.13
255,134,link,10.1038/s41560-018-0263-4,P2F-Ehp,2.49,25.5,63.5,-5.38,-3.06,,1.85,ITIC,-5.64,-3.89,,1.6,1:1,CF,1000,11,_,0,100,100,5,PEDOT:PSS,,40,PFNDI-Br,,,2.63E-05,1.42E-05,1.017,13.02,54.79,7.28
256,134,link,10.1038/s41560-018-0263-4,P2F-EO,2.42,26.4,64,-5.41,-3.08,,1.85,ITIC,-5.64,-3.89,,1.6,1:1,CF,1000,11,_,0,100,100,5,PEDOT:PSS,,40,PFNDI-Br,,,,,1.013,12.65,52.53,6.73
257,134,link,10.1038/s41560-018-0263-4,P2F-Ehp,2.49,25.5,63.5,-5.38,-3.06,,1.85,IT-F,-5.66,-3.95,,1.54,1:1,CF,1000,11,_,0,100,100,5,PEDOT:PSS,,40,PFNDI-Br,,,4.65E-05,6.40E-06,0.959,16.91,61.94,10.06
258,134,link,10.1038/s41560-018-0263-4,P2F-Ehp,2.49,25.5,63.5,-5.38,-3.06,,1.85,IT-2F,-5.64,-4.05,,1.53,1:1,CF,1000,11,_,0,100,100,5,PEDOT:PSS,,40,PFNDI-Br,,,4.76E-05,1.99E-05,0.891,19.65,74.09,12.96
259,135,link,10.1039/C6EE03489F,PB3T,,,,-5.39,-3.37,,1.96,IT-M,-5.58,-3.96,,,60:40,Anisole,,8,_,0,100,25,0,PEDOT:PSS,,,PFN-Br,,5,1.10E-04,6.50E-05,1,18.9,63,11.90
260,136,link,10.1021/acs.chemmater.7b01615,PBDB-T,,,,,,,,IT-M,,-3.98,,,1:1,CB,3000,20,DIO,1,115,100,10,MoOx,,10,EDTA-ZnO,,40,3.17E-04,2.96E-04,0.953,17.34,73.2,12.10
261,137,link,10.1002/aenm.201801601,PBDB-T,4.22,36.2,,-5.36,-3.54,,1.82,ITIC,,,,,1:1,CB,2000,20,DIO,0.5,,160,10,MoOx,,3,ZnO,,,2.01E-04,1.42E-04,0.86,18.12,64.29,10.02
262,138,link,10.1002/adfm.201705659,PBDB-T,,,,-5.33,-3.53,,,ITIC,-5.61,-4.02,,,1:1,CB,1500,,DIO,3,160,110,10,PEDOT:PSS,,30,PFN-Br,,5,,,0.896,16.55,70.73,10.54
263,138,link,10.1002/adfm.201705659,PBDB-T,,,,-5.33,-3.53,,,IT-M,-5.58,-3.98,,,1:1,CB,1500,,DIO,3,160,110,10,PEDOT:PSS,,30,PFN-Br,,5,,,0.95,16.37,74.06,11.52
264,139,link,10.1007/s11426-016-0417-9,PBDB-T,,,,,,,,DICTiF,-5.55,-3.62,,1.75,1:1.4,CF,,,DPE,0.5,,80,,PEDOT:PSS,,,PDIN,,,8.45E-05,7.46E-05,0.98,11.2,65,6.97
265,140,link,10.1002/adfm.201603820,PffBT4T-2OD,,,,-5.3,-3.7,,,BAF-4CN,-5.7,-3.6,,2.16,1:1.35,o-DCB:CB (1:1),800,,DIO,0.1304347826,300,25,0,MoOx,,10,ZnO,,40,2.90E-04,4.90E-04,0.769,15.52,70.7,8.40
266,141,link,10.1007/s40843-016-5155-2,PBDB-T,,,,,,,,DCF-2HT,-5.67,-3.72,,1.93,1:1.4,CF,,,PN,0.5,,25,0,PEDOT:PSS,,,PDIN,,,1.34E-05,4.86E-05,1.02,11.3,49.5,5.71
267,141,link,10.1007/s40843-016-5155-2,PTB7-Th,,,,,,,,DCF-2HT,-5.67,-3.72,,1.93,1:1.4,CF,,,PN,0.5,,25,0,PEDOT:PSS,,,PDIN,,,,,0.96,12.43,40.04,4.83
268,142,link,10.1002/adma.201702125,FTAZ,,,,-5.38,-3.17,,,ITIC1,-5.48,-3.84,,1.55,1:1.3,CF,,11.5,_,0,90,25,0,MoOx,,10,ZnO,,30,2.70E-03,2.00E-04,0.921,16.45,56.4,8.54
