ref,ref number from paper,reference link,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL energy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),Voc (V),Jsc (mA cm^-2),FF (%),PCE (%)
456,229,link,10.1002/adma.201705208,PBDB-T,,,,-5.33,-3.53,,,DF-PCIC,-5.49,-3.77,,1.59,1:1.4,,2000,20,CN,0.5,100,130,10,MoOx,-5.3,10,ZnO/PFN,-4.4,,1.28E-04,2.60E-05,0.91,15.66,72,10.14
457,230,link,10.1016/j.orgel.2018.05.050,PBDB-T,,,,-5.33,-3.53,,,IF-TN,-5.8,-3.93,,1.81,1:1,CB,2000,10,CN,2,100,80,5,PEDOT:PSS,-5.33,,PNDIT-F3N-Br,-4.18,5,4.54E-04,1.02E-05,1.006,7.02,40.95,2.89
458,230,link,10.1016/j.orgel.2018.05.050,PBDB-T,,,,-5.33,-3.53,,,IDT-TN,-5.42,-4.03,,1.43,1:1,CB,2000,10,CN,2,100,80,5,PEDOT:PSS,-5.33,,PNDIT-F3N-Br,-4.18,5,8.55E-04,6.79E-05,0.967,13.22,45.17,5.77
459,231,link,10.1021/acs.macromol.8b00683,PBDB-T,,,,-5.21,-3.41,,,IT-M,-5.58,-3.98,,,1:1,CB,,20,DIO,0.8,,120,15,PEDOT:PSS,,,PDINO,,5,1.08E-05,4.82E-04,0.93,16.69,66.77,10.31
460,232,link,10.1039/C8TC02701C,PBDB-T,,,,-5.2,-3,,,ITIC-Cl4,-5.5,-3.9,,1.48,1:1,o-DCB,1500,15,CN,0.5,,25,0,MoOx,,10,ZnO,,,,,0.74,21.5,60,9.60
461,233,link,10.1016/j.dyepig.2018.05.050,PBDTS-TzBI,,,,-5.39,-3.52,,1.57,ITIC,-5.48,-3.83,,,1:1,CB,,20,_,0,100,130,,PEDOT:PSS,,,PFN-Br,,,6.45E-05,3.09E-04,0.94,16.8,56.2,9.04
462,233,link,10.1016/j.dyepig.2018.05.050,PBDTS-TzBI,,,,-5.39,-3.52,,1.57,ITIC-Th,-5.66,-3.93,,,1:1,CB,,20,_,0,100,130,,PEDOT:PSS,,,PFN-Br,,,1.27E-04,5.18E-04,0.91,17.34,60.44,9.67
463,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT-Me,-5.4,-3.78,,1.58,1:0.6,CF,,9.6,_,0,,25,0,PEDOT:PSS,,,PDIN,,,2.07E-04,1.68E-04,0.909,17.3,70,11.00
464,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT-F,-5.43,-3.88,,1.5,1:1,CF,,,_,0,,25,0,PEDOT:PSS,,,PDIN,,,2.49E-04,1.33E-04,0.793,19.28,69.5,10.62
465,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT,-5.4,-3.83,,1.56,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,,PDIN,,,3.68E-04,1.38E-04,0.872,17.85,67.2,10.42
466,235,link,10.1039/C8TA01739E,PBDB-T,,,,-5.33,-3.53,,,IT-DM,-5.47,-3.78,,,1.5:2,CB,,20,_,0,100,160,,PEDOT:PSS,,,PFN-Br,,,2.31E-04,4.01E-05,0.95,15.95,68.7,10.41
467,236,link,10.1021/acs.chemmater.8b02276,PBDB-T,,,,-5.33,-3.53,,,SN6IC,-5.38,-3.93,,1.39,1:1,CB,3000,20,DIO,0.3,100,25,0,PEDOT:PSS,,,C60-bissalt,,,,2.95E-04,0.88,16.5,66,9.60
468,236,link,10.1021/acs.chemmater.8b02276,PBDB-T,,,,-5.33,-3.53,,,SN6IC-4F,-5.52,-4.11,,1.32,1:1,CB,3000,20,DIO,0.3,100,25,0,PEDOT:PSS,,,C60-bissalt,,,,5.00E-04,0.78,23.2,73,13.20
469,237,link,10.1021/acsenergylett.8b00366,PTB7-Th,,,,-5.02,-3.44,,,ITIC,-5.47,-3.76,,,1:2,CB,3000,25,_,0,,25,0,MoOx,,,ZnO,,,2.07E-02,2.43E-04,0.825,14.4,66,7.80
470,237,link,10.1021/acsenergylett.8b00366,PTB7-Th,,,,-5.02,-3.44,,,IDTT-T,-5.51,-3.51,,2,1:2,CB,3000,25,_,0,57,25,0,MoOx,,,ZnO,,,5.19E-03,3.98E-03,1.015,15.7,57,9.10
471,238,link,10.1002/solr.201800120,PBDB-T,,,,-5.3,-3.4,,,IDT-TBA,-5.71,-3.93,,1.91,1:1,,2000,20,_,0,100,120,10,MoOx,,,ZnO,,,2.20E-04,5.00E-05,1,11.2,57,6.40
472,238,link,10.1002/solr.201800120,PBDB-T,,,,-5.3,-3.4,,,IDDT-TBA,-5.91,-4,,1.78,1:1,,2000,20,_,0,100,120,,MoOx,,,ZnO,,,1.40E-04,4.30E-05,1.03,11.6,61,7.30
473,239,link,10.1007/s11426-018-9252-9,PBDB-T,,,,-5.33,-3.53,,,IDT-IC,-5.78,-3.84,,1.72,1:1,o-DCB,1200,8,_,0,80,25,0,MoOx,,,ZnO,,,4.02E-05,7.33E-05,0.83,10.54,49,4.69
474,240,link,10.1002/solr.201800053,PBDB-T,,,,-5.33,-2.92,,,O-NTIC,-5.51,-3.67,,1.7,1:0.8,CB,,19.9,DIO,0.5,,25,0,PEDOT:PSS,,,PDINO,,,1.54E-04,8.27E-05,0.978,13.31,69.9,9.10
475,240,link,10.1002/solr.201800053,PBDB-T,,,,-5.33,-2.92,,,O-NTNC,-5.54,-3.78,,1.64,1:0.8,CB,,19.9,DIO,0.8,,25,0,PEDOT:PSS,,,PDINO,,,2.55E-04,1.69E-04,0.942,15.98,73.4,11.04
476,241,link,10.1002/asia.201801669,PBDB-T,,,,-5.33,-2.92,,,BTTFIC,-5.56,-3.95,,1.58,1.5:1,o-DCB,,15,_,0,106,130,10,MoOx,,,ZnO,,,1.16E-04,1.22E-04,0.935,17.74,54.3,9.00
477,241,link,10.1002/asia.201801669,PTB7-Th,,,,-5.2,-3.56,,,BTTFIC,-5.56,-3.95,,1.58,1:2,o-DCB,,30,_,0,101,130,10,MoOx,,,ZnO,,,6.70E-05,1.01E-04,0.871,17.67,55,8.47
478,242,link,10.1007/s11426-017-9199-1,PBDB-TF,,,,-5.5,-3.61,,1.83,IT-4F,-5.69,-4.07,,,1:1,CB,,10,DIO,0.75,100,100,,MoOx,,,ZnO,,,9.76E-04,7.15E-04,0.84,22.2,72.5,13.50
479,243,link,10.1039/C7QM00585G,PBDB-T,,,,,,,,NFTI,-5.46,-3.77,,1.57,1:0.9,o-DCB,,,DPE,3,,25,0,PEDOT:PSS,,,FPI,,,3.79E-04,1.11E-05,0.898,16.22,57,8.34
480,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F5IC,-5.82,-4.05,,1.64,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,3.00E-04,3.40E-05,0.704,14.88,53.7,5.60
481,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F7IC,-5.74,-4.01,,1.56,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,2.70E-04,8.30E-05,0.742,18.43,59.7,8.20
482,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F9IC,-5.52,-3.97,,1.49,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,2.10E-04,1.50E-04,0.873,20.2,66.4,11.70
483,245,link,10.1021/acsami.8b16554,PBDTTz-SBP,2.3,21,48.3,-5.46,-3.5,,1.96,ITIC,-5.6,-3.93,,,1:1,CB,,,_,0,125,25,0,PEDOT:PSS,,,PFN-Br,,,1.42E-04,3.90E-05,0.914,18.52,71.43,12.09
484,245,link,10.1021/acsami.8b16554,PBDTTz-BP,2.3,21,48.3,-4.8,-2.45,,1.96,ITIC,-5.6,-3.93,,,1:1,CB,,,_,0,125,25,0,PEDOT:PSS,,,PFN-Br,,,,,0.832,17.96,61.56,9.20
485,246,link,10.1039/c8ee01546e,PJ1,1.58,87.8,138.724,-5.38,-3.38,,2,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,110.9,130,5,PEDOT:PSS,,,PDINO,,,5.50E-05,2.00E-05,1.031,11.1,56,6.41
486,246,link,10.1039/c8ee01546e,PJ1,1.58,87.8,138.724,-5.38,-3.38,,2,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,109.1,130,5,PEDOT:PSS,,,PDINO,,,6.90E-05,2.50E-05,0.958,12,53.6,6.18
487,246,link,10.1039/c8ee01546e,PJ2,1.44,80.1,115.344,-5.14,-3.33,,1.81,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,112.6,130,5,PEDOT:PSS,,,PDINO,,,1.50E-04,8.70E-05,0.988,16.8,62.3,10.34
488,246,link,10.1039/c8ee01546e,PJ2,1.44,80.1,115.344,-5.14,-3.33,,1.81,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,110.3,130,5,PEDOT:PSS,,,PDINO,,,2.00E-04,1.59E-04,0.939,17,75.3,12.01
489,246,link,10.1039/c8ee01546e,PJ3,1.56,79.2,123.552,-5.01,-3.26,,1.75,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,117.8,130,5,PEDOT:PSS,,,PDINO,,,8.10E-05,4.90E-05,0.96,12.7,63.5,7.76
490,246,link,10.1039/c8ee01546e,PJ3,1.56,79.2,123.552,-5.01,-3.26,,1.75,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,114.5,130,5,PEDOT:PSS,,,PDINO,,,1.00E-04,6.40E-05,0.908,12.8,69.8,8.11
491,247,link,10.1039/C7TA09837E,2D-PBTCl,1.59,41.37,66.16,-5.45,-3.6,,1.58,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,DIO,0.25,100,25,0,MoOx,,,ZnO,,,4.90E-04,,0.91,15.79,61.32,8.81
492,247,link,10.1039/C7TA09837E,2D-PBTCl2,1.91,41.86,80.3,-5.43,-3.63,,1.48,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,DIO,0.25,90,25,0,MoOx,,,ZnO,,,1.10E-04,,0.87,14.52,58.43,7.38
493,247,link,10.1039/C7TA09837E,PTB7-Th,,,,-5.38,-3.7,,,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,DIO,0.25,90,25,0,MoOx,,,ZnO,,,,,0.82,14.76,57.09,6.91
494,248,link,10.1021/acsaem.8b00506,PBClT,1.99,43.8,87.52,-5.47,-3.61,,1.64,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,_,0,100,25,0,MoOx,,,ZnO,,,7.41E-05,,1.01,13.95,60.05,8.46
495,249,link,10.1021/acsenergylett.8b00563,PBDB-T,,,,-5.36,-3.54,,,BDCPDT-IC,-5.41,-3.87,,1.53,1:1,CB,,12,DIO,1,,25,0,MoOx,,,ZnO,,,,,0.86,16.56,65.52,9.33
496,249,link,10.1021/acsenergylett.8b00563,PBDB-T,,,,-5.36,-3.54,,,BDCPDT-FIC,-5.52,-4,,1.49,1:1,CB,,12,_,0,,25,0,MoOx,,,ZnO,,,,,0.7,19.12,60.67,8.12
497,250,link,10.1016/j.orgel.2018.04.001,PBFTT,1.88,42.58,80.0504,-5.47,-3.56,,1.64,ITIC,-5.6,-3.85,,,1:1.5,CB,,20,_,0,,25,0,MoOx,,,ZnO,,,4.62E-04,1.55E-04,0.94,16,60.5,9.10
498,251,link,10.1039/C7TA01746D,PBDB-O,2.24,25.3,56.672,-5.3,-2.82,,1.55,ITIC,-5.51,-3.78,,,1:1,CB,2500,20,DIO,0.5,100,160,,MoOx,,,ZnO,,,3.29E-05,6.55E-05,0.846,11.8,43.3,4.35
499,251,link,10.1039/C7TA01746D,PBDB-T,3.25,16,52,-5.33,-2.92,,,ITIC,-5.51,-3.78,,,1:1,CB,2500,20,DIO,0.5,100,160,,MoOx,,,ZnO,,,2.32E-04,2.93E-04,0.899,16.8,74.2,11.21
500,252,link,10.1039/C7TA10763C,PBDB-T,,,,-5.31,-3.51,,,BDTIT-M,-5.4,-3.85,,1.55,1:1,CB,2500,20,DIO,0.75,100,100,5,PEDOT:PSS,,,PDIN,,,8.84E-04,3.00E-04,0.903,17.56,71.3,11.31
501,252,link,10.1039/C7TA10763C,PBDB-T,,,,-5.31,-3.51,,,BDTThIT-M,-5.35,-3.82,,1.53,1:1,CB,2500,20,DIO,0.75,100,100,5,PEDOT:PSS,,,PDIN,,,9.97E-04,3.93E-04,0.942,18.03,71.4,12.12
508,252,correct link,10.1002/solr.201700020,PBZ,2.18,,,-5.18,-3.22,,1.96,ITIC,-5.48,-3.83,,,1:1.25,CB,,9,_,0,100,25,0,MoOx,,10,ZnO,,,4.40E-04,1.64E-04,0.79,17.2,59,8.00
509,252,correct link,10.1002/solr.201700020,PFBZ,2.3,,,-5.36,-3.42,,1.94,ITIC,-5.48,-3.83,,,1:1.25,CB,,9,_,0,125,25,0,MoOx,,10,ZnO,,,7.50E-04,4.48E-04,0.89,18.8,62,10.40
510,252,correct link,10.1002/adma.201601595,J51,,,,-5.26,-3.08,,1.91,ITIC,-5.48,-3.83,,1.59,1:2,CF,1800,18,_,0,,25,0,PEDOT:PSS,,,PDINO,,10,2.05E-04,8.60E-05,0.84,14.08,61,7.03
511,252,correct link,10.1021/jacs.6b01744,J60,2.22,23.9,53.058,-5.32,-3.08,,,ITIC,-5.53,-3.88,,,1:1,CF,2500,20,_,0,,25,0,PEDOT:PSS,,,PDINO,,10,,,0.92,9.78,57.45,5.17
512,252,correct link,10.1021/jacs.6b01744,J61,2.29,34.2,78.318,-5.32,-3.08,,,ITIC,-5.53,-3.88,,,1:1,CF,2500,20,_,0,,25,0,PEDOT:PSS,,,PDINO,,10,1.59E-04,1.45E-04,0.91,14.95,66.55,9.15
502,253,link,10.1016/j.dyepig.2018.11.056,PTB7,,,,-5.14,-3.51,,1.64,IEICO-4F,-5.44,-4.19,,,1:1.5,CB,,25,DIO,0.5,,25,0,PEDOT:PSS,,,PFN-Br,,,3.14E-04,4.53E-04,0.54,14.73,28.92,2.30
503,253,link,10.1016/j.dyepig.2018.11.056,PTB7-Th,,,,-5.22,-3.64,,,IEICO-4F,-5.44,-4.19,,,1:1.5,CB,,25,CN,1.5,,25,0,PEDOT:PSS,,,PFN-Br,,,6.57E-04,4.22E-04,0.72,23.21,69.41,11.60
504,254,link,10.1016/j.dyepig.2017.02.022,PBO,4.04,57.9,233.916,-5.47,-3.67,,1.8,ITIC,-5.53,-3.88,,,1:2,o-DCB,,20,DIO,0.5,85,25,0,PEDOT:PSS,,,LiF,,,1.30E-05,4.20E-05,0.92,14.3,54,7.10
505,255,link,10.1007/s40843-017-9084-x,PBDB-T,,,,-5.28,,,,TTIC-M,-5.3,-3.82,,1.44,1:1,CB,,20,_,0,,25,0,PEDOT:PSS,,,PDINO,,14,8.70E-05,8.60E-05,0.83,19.07,63,9.85
506,255,link,10.1007/s40843-017-9084-x,PBDB-T,,,,-5.28,,,,TTIC,-5.33,-3.87,,1.38,1:1,CB,,20,_,0,,25,0,PEDOT:PSS,,,PDINO,,14,1.63E-04,1.61E-04,0.8,20.58,66,10.73
507,255,link,10.1007/s40843-017-9084-x,PBDB-T,,,,-5.28,,,,TTIC-F,-5.34,-3.88,,1.35,1:1,CB,,20,_,0,,25,0,PEDOT:PSS,,,PDINO,,14,1.29E-04,1.38E-04,0.71,21.26,63,9.38
513,256,link,10.1002/solr.201700020,J71,,,,-5.36,-3.42,,,ITIC,-5.48,-3.83,,,1:1.25,CB,,22.5,_,0,175,25,0,MoOx,,10,ZnO,,,,,0.96,14.81,63.63,9.03
514,257,link,10.1039/C7TA07882J,FTAZ,,,,-5.48,-3.47,,,ITIC,-5.64,-4.04,,,1:1.5,CF,5000,15,_,0,90,25,0,MoOx,,,ZnO,,,9.30E-05,5.90E-06,0.911,16.71,58,8.77
515,257,link,10.1039/C7TA07882J,HTAZ,,,,-5.42,-3.44,,1.91,ITIC,-5.64,-4.04,,,1:1.5,CF,5000,15,_,0,90,25,0,MoOx,,,ZnO,,,1.90E-05,1.50E-06,0.851,13.03,40.8,4.50
517,258,link,10.1007/s11426-017-9102-1,PTB7-Th,,,,,,,,IFT-ECA,-5.62,-3.58,,2.28,1:1.5,o-DCB,,,CN,3,120,25,0,MoOx,,,ZnO,,,,,0.76,0.2,23.6,0.03
518,258,link,10.1007/s11426-017-9102-1,PTB7-Th,,,,,,,,IFT-M,-5.83,-3.65,,2.15,1:1.5,o-DCB,,,CN,3,120,25,0,MoOx,,,ZnO,,,,,0.76,0.8,24.9,0.15
519,258,link,10.1007/s11426-017-9102-1,PTB7-Th,,,,,,,,IFT-IC,-5.7,-3.87,,2.03,1:1.5,o-DCB,,,CN,3,120,25,0,MoOx,,,ZnO,,,,,1.03,8,50.3,4.14
520,258,link,10.1007/s11426-017-9102-1,PTB7-Th,,,,,,,,IFT-TH,-5.85,-3.67,,1.84,1:1.5,o-DCB,,,CN,3,120,25,0,MoOx,,,ZnO,,,,,0.9,13.2,60.2,7.16
521,259,link,10.1039/C7QM00182G,PBDB-T,,,,,,,,IT-M,,,,,1:1,CB,,20,DIO,1,100,25,0,PEDOT:PSS,,,PFN-Br,,,2.09E-04,1.22E-04,0.961,16.69,70,11.50
522,260,link,10.1021/acs.chemmater.7b02853,PTB7-Th,,,,-5.2,-3.59,,,4TIC,-5.28,-3.87,,1.4,1:2,CB,,30,DIO,0.5,,25,0,PEDOT:PSS,,,C60-bissalt,,,,6.20E-04,0.78,18.8,72,10.43
523,260,link,10.1021/acs.chemmater.7b02853,PTB7-Th,,,,-5.2,-3.59,,,ITIC,-5.43,-3.81,,1.6,1:1.25,CB,,22.5,_,0,,25,0,PEDOT:PSS,,,C60-bissalt,,,,2.40E-04,0.83,15.18,57,7.28
524,261,link,10.1016/j.orgel.2017.02.029,TBF-BDD,1.83,32,65,-5.37,-3.65,,1.76,ITIC,,,,,1:1,CF,2800,16,_,0,,110,10,PEDOT:PSS,,,PDINO,,,1.34E-04,1.18E-04,0.85,14.94,56,7.13
525,261,link,10.1016/j.orgel.2017.02.029,TBF-BT,1.67,45,76,-5.4,-3.55,,1.75,ITIC,,,,,1:1,CF,2800,16,_,0,,110,10,PEDOT:PSS,,,PDINO,,,8.20E-05,7.00E-05,0.81,13.89,63,7.03
526,262,link,10.1016/j.dyepig.2017.07.014,PBT,,,,-5.43,-3.65,,1.78,CzC6C8,-5.79,-3.79,,2,1:3,CB,,25,_,0,97,130,,MoOx,,,ZnO,,,1.23E-06,2.88E-06,0.99,8.24,41,3.30
527,262,link,10.1016/j.dyepig.2017.07.014,PBT,,,,-5.43,-3.65,,1.78,CzC8,-5.72,-3.74,,1.98,1:3,CB,,25,_,0,103,130,,MoOx,,,ZnO,,,2.02E-06,3.27E-06,1.03,9,50,4.64
528,262,link,10.1016/j.dyepig.2017.07.014,PTB7-Th,,,,-5.23,-3.65,,,CzC8,-5.72,-3.74,,1.98,1:3,CB,,25,_,0,102,100,,MoOx,,,ZnO,,,4.73E-05,4.89E-05,0.98,11.24,45,4.91
529,262,link,10.1016/j.dyepig.2017.07.014,PTFBDT,,,,-5.5,-3.69,,1.81,CzC8,-5.72,-3.74,,1.98,1:3,CB,,25,_,0,94,150,,MoOx,,,ZnO,,,1.88E-06,1.60E-06,1.16,7.99,51,4.67
530,263,link,10.1021/acsami.7b10275,PBDB-T,,,,-5.33,-3.53,,,IDTC,-5.29,-3.37,,1.51,1:1,CF,,,_,0,100,160,,PEDOT:PSS,,,PDINO,,,7.54E-05,1.48E-04,0.917,16.56,61.61,9.35
531,263,link,10.1021/acsami.7b10275,PBDB-T,,,,-5.33,-3.53,,,IDTO,-5.11,-3.38,,1.53,1:1,CF,,,_,0,100,160,,PEDOT:PSS,,,PDINO,,,1.10E-04,1.78E-04,0.943,16.25,65.41,10.02
532,264,link,10.1016/j.scib.2017.08.027,PTB7-Th,,,,-5.2,-3.6,,1.58,BTA7,-5.56,-3.66,,1.78,1:2,CF,,15,DPE,3,,80,,PEDOT:PSS,,,Ca,,,,,1.05,10.44,42,4.60
533,264,link,10.1016/j.scib.2017.08.027,PTB7-Th,,,,-5.2,-3.6,,1.58,BTA1,-5.51,-3.55,,1.85,1:2,CF,,15,DPE,3,,80,,PEDOT:PSS,,,Ca,,,,,0.93,0.2,29,0.06
534,264,link,10.1016/j.scib.2017.08.027,PTB7-Th,,,,-5.2,-3.6,,1.58,BTA2,-5.43,-3.38,,2,1:2,CF,,15,DPE,3,,80,,PEDOT:PSS,,,Ca,,,,,1.01,0.05,27,0.01
535,265,link,10.1021/acsmacrolett.7b00097,P3HT,,,,-5,-3.1,,1.9,BTA1,-5.51,-3.55,,,1:0.6,CF,,15,CN,0.8,,100,10,PEDOT:PSS,,,Ca,,,1.80E-06,3.20E-05,1.02,7.34,70,5.24
536,265,link,10.1021/acsmacrolett.7b00097,P3HT,,,,-5,-3.1,,1.9,BTA2,-5.43,-3.38,,2,0.6:1,CF,,15,DIO,0.8,,100,10,PEDOT:PSS,,,Ca,,,4.90E-04,3.40E-04,1.22,6.15,60,4.50
537,266,link,10.1002/solr.201700166,P3HT,,,,-5,-3.1,,,BT2,-5.5,-3.53,,1.82,1.5:1,CF,,15,_,0,,150,,PEDOT:PSS,,,Ca,,,1.20E-04,4.60E-05,0.97,7.59,67,4.93
538,266,link,10.1002/solr.201700166,P3HT,,,,-5,-3.1,,,BT2b,-5.41,-3.56,,1.75,1:1,CF,,15,_,0,,150,,PEDOT:PSS,,,Ca,,,6.10E-05,8.40E-05,0.92,10.02,66,6.08
539,267,link,10.1016/j.dyepig.2017.05.026,PBDB-T,,,,-5.33,-2.92,,,CDTCN,-5.39,-3.8,,1.48,1:1,CB,1200,20,DIO,0.75,107,80,10,MoOx,,,ZnO,,,6.98E-05,1.87E-04,0.96,11.26,57.58,6.23
540,268,link,10.1002/adma.201701308,PTB7-Th,,,,-5.2,-3.59,,,IHIC,-5.45,-3.93,,,1:1.5,o-DCB,,20,CN,1,100,25,0,MoOx,,,ZnO,,,6.80E-04,1.20E-03,0.754,19.01,68.1,9.77
541,269,link,10.1021/acsphotonics.7b00618,PBDB-T,,,,-5.33,-2.92,,,ITIC,-5.96,-3.98,,,1:1,CB,,20,DIO,0.5,100,25,0,MoOx,,,ZnO,,,,,0.88,13.8,59.8,7.40
542,270,link,10.1039/C5TA05901A,PBDTTT-C-T,,,,-5.11,-3.25,,,IDT-2BM,-5.6,-4.8,,1.6,1.5:1,o-DCB,,30,CN,6,,25,0,PEDOT:PSS,,,Ca,,,2.50E-04,1.00E-05,0.766,10.1,55.1,4.26
543,270,link,10.1039/C5TA05901A,PBDTTT-C-T,,,,-5.11,-3.25,,,IDTT-2BM,-5.5,-3.8,,1.54,1.5:1,o-DCB,,30,DIO,3,,25,0,PEDOT:PSS,,,Ca,,,4.10E-04,1.30E-05,0.851,9.87,57.2,4.81
544,271,link,10.1016/j.nanoen.2016.10.008,PffQx-T,1.9,11,20.9,-5.36,-3.56,,1.73,ITIC,-5.48,-3.83,,1.57,1:1.5,CF,,20,_,0,100,170,10,PEDOT:PSS,,,PDINO,,,2.31E-04,1.73E-04,0.87,16.33,59.6,8.47
545,271,link,10.1016/j.nanoen.2016.10.008,PffQx-PS,2,13,26,-5.4,-3.55,,1.81,ITIC,-5.48,-3.83,,1.57,1:1,CF,,20,DIO,0.1,100,90,10,PEDOT:PSS,,,PDINO,,,4.55E-05,2.41E-05,0.97,14.96,62.9,9.12
551,273,link,10.1021/acsami.8b20493,PBDB-T,,,,-5.28,-3.48,,,ITIC,-5.51,-3.78,,,1:1,CB,1500,20,_,0,100,160,10,MoOx,,,ZnO,,,1.50E-04,5.10E-05,0.831,14.5,71.1,8.60
554,274,link,10.1088/1361-6463/ab092b,PBDB-T,,,,,,,,ITIC,,,,,1:1,CB,1400,20,DIO,0.5,100,25,0,MoOx,,,ZnO,,,3.87E-04,4.45E-04,0.87,19.11,64.15,10.53
555,275,link,10.1117/12.2315945,PTB7-Th,,,,,,,,O-IDTBR,,,,,,,,,,,,,,,,,,,,,,0.992,17.7,57.3,10.10
556,275,link,10.1117/12.2315945,PTB7-Th,,,,,,,,IEICO,,,,,,,,,,,,,,,,,,,,,,0.883,14.8,61.2,7.95
557,275,link,10.1117/12.2315945,PTB7-Th,,,,,,,,IEICO-4F,,,,,,,,,,,,,,,,,,,,,,0.707,26.6,66,12.40
562,276,link,10.1039/C9TA03272J,J101,1.89,28.1,53.109,-5.3,-3.5,,1.53,ITIC,-5.56,-3.79,,,1:1,CF,,16,_,0,98,150,,PEDOT:PSS,,,PDINO,,,,,0.951,17.7,73.65,12.47
563,276,link,10.1039/C9TA03272J,J101,1.89,28.1,53.109,-5.3,-3.5,,1.53,ZITI,-5.53,-3.8,,,1:1,CF,,16,_,0,105,120,,PEDOT:PSS,,,PDINO,,,2.18E-04,1.27E-04,0.937,21.25,72.48,14.43
564,276,link,10.1039/C9TA03272J,J71,2,25.9,51.8,-5.27,-3.6,,,ZITI,-5.53,-3.8,,,1:1,CF,,16,_,0,98,25,0,PEDOT:PSS,,,PDINO,,,3.55E-04,4.52E-05,0.912,20.23,69.49,12.82
565,277,link,10.1021/acsaem.8b00012,PTB7-Th,,,,-5.22,-3.64,,,DICTF-C10,-5.67,-3.89,,1.76,2:3,o-DCB,,25,_,0,68,25,0,MoOx,,,ZnO,,,4.60E-05,2.30E-05,0.865,19.255,50,6.93