,SMILES
0,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c([R14])cc5c4cc([R14])c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc([R14])cc4)c4ccc([R14])cc4)c32)cc1
1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
2,[R4]c1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc([R14])cc1)c1ccc([R14])cc1)-c1sc(-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2[R4])cc1C3(c1ccc([R14])cc1)c1ccc([R14])cc1
3,[R1]n1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C7(c1ccc([R14])cc1)c1ccc([R14])cc1)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3
4,[R2]C1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
5,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)[se]5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)[se]3)sc2-4)cc1
6,[R4]C1([R4])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3c(F)c(OC)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5([R4])[R4])c(F)c3OC)cc21
7,[R4]C1([R4])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3c(F)c(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5([R4])[R4])c(F)c3F)cc21
8,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5C(=O)OC)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3C(=O)OC)sc2-4)cc1
9,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1
10,[R14]c1ccc([Si]2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)[Si](c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
11,[R14]C1([R14])c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nonc45)cc21)C([R14])([R14])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nonc24)sc1-3
12,[R14]C1([R14])c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5n[se]nc45)cc21)C([R14])([R14])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4n[se]nc24)sc1-3
13,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
14,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
15,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1
16,[R14]Oc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc3c(cc1-2)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1O[R14]
17,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1
18,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc35)sc2-4)cc1
19,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C(\C#N)C(=O)OCC)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C(\C#N)C(=O)OCC)c5nsnc35)sc2-4)cc1
20,[R14]Oc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc3c(cc1-2)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1O[R14]
21,[R14]Oc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc2c1C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc3c(cc1-2)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)c1O[R14]
22,[R14]Oc1c(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)sc2c1C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc3c(cc1-2)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1c-3sc(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)c1O[R14]
23,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)[se]5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)[se]3)sc2-4)cc1
24,[R4]C1([R4])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5([R4])[R4])cc3F)cc21
25,[R4]c1cc(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2([R14])[R14])-c1sc(-c2sc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)cc2[R4])cc1C3([R14])[R14]
26,[R4]c1cc(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C([R14])([R14])c1cc3c(cc1-2)C([R14])([R14])c1cc(-c2sc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)cc2[R4])ccc1-3
27,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1
28,*c1ccc(C2(c3ccc(*)cc3)c3cc(C=C4C(=O)c5cc(C)ccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(C=C3C(=O)c4cc(C)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(*)cc2)c2ccc(*)cc2)cc1
29,*c1ccc(C2(c3ccc(*)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(*)cc2)c2ccc(*)cc2)cc1
30,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
31,[R14]C([R14])n1c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2c2sc3c(sc4c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5n(C([R14])[R14])c43)c21
32,[R14]C([R14])n1c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2c2sc3c(sc4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5n(C([R14])[R14])c43)c21
33,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(C=C3C(=O)N(CC)C(=S)N(CC)C3=O)sc2-4)cc1
34,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)N(CC)C(=S)N(CC)C6=O)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc23)cc1
35,[R7]Oc1ccc(C2(c3ccc(O[R7])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(O[R7])cc2)(c2ccc(O[R7])cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
36,[R7]Oc1ccc(C2(c3ccc(O[R7])cc3)c3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(O[R7])cc2)(c2ccc(O[R7])cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1
37,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc2cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc2c1C4([R2])[R2])C([R2])([R2])c1c-3sc2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc12
38,[R2]c1cc2c(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc(-c3ccc4c(c3)C([R2])([R2])c3cc(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)c6cc([R2])sc56)ccc3-4)c2s1
39,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)sc2-4)cc1
40,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
41,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)sc2-4)cc1
42,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
43,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7sccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5sccc5C4=C(C#N)C#N)sc23)cc1
44,CCCCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CCCC)C8=O)s6)cc5)s4)ccc(c23)C1=O
45,CCCCCCCCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CCCCCCCC)C8=O)s6)cc5F)s4)ccc(c23)C1=O
46,[R2]Oc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(F)cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1
47,[R2]Oc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(O[R2])cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1
48,[R2]Oc1ccc2c(c1)-c1cc(O[R2])ccc1C21c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21
49,[R14]c1cccc(C2(c3cccc([R14])c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc([R14])c2)(c2cccc([R14])c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1
50,[R2]c1cc2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc(-c3ccc4c(c3)C([R4])([R4])C3=C4C([R4])([R4])c4cc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6cc([R2])sc56)ccc43)c2s1
51,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
52,[R1]n1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)cc1C7(c1ccc([R14])cc1)c1ccc([R14])cc1)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
53,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
54,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
55,[R4]N1C(=O)C2C(C(=O)N([R4])C2c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)C1c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1
56,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc([R14])c(C=O)cc5[R14])cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc([R14])c(C=O)cc3[R14])sc2-4)cc1
57,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc([R14])c(C=O)cc5[R14])cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc([R14])c(C=O)cc3[R14])sc2-4)cc1
58,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1
59,*c1ccc(C2(c3ccc(*)cc3)c3c(sc4cc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(*)cc2)c2ccc(*)cc2)cc1
60,[R2][Si]1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
61,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1
62,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCC)cc5C4=C(C#N)C#N)sc23)cc1
63,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCC)cc5C4=C(C#N)C#N)sc23)cc1
64,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCCC)cc5C4=C(C#N)C#N)sc23)cc1
65,[R2][Si]1([R2])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]4([R2])[R2]
66,[R2][Si]1([R2])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c(O[R7])c4c5c(sc4c(O[R7])c3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]5([R2])[R2]
67,*C1(*)c2cc(-c3ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s3)sc2-c2c1ccc1c3c(ccc21)C(*)(*)c1cc(-c2ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s2)sc1-3
68,*C1(*)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(*)(*)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
69,*[Si]1(*)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(C=C2C(=O)c3cc(F)ccc3C2=C(C#N)C#N)cc1[Si]4(*)*
70,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc(F)c(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc(F)c(/C=c5\sc(=C(C#N)C#N)n(CCCCCCCC)c5=O)c5nsnc35)sc2-4)cc1
71,*Oc1c2sc3c(c2c(O*)c2sc4c(c12)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
72,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5cc(F)c(F)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3
