,SMILES
73,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
74,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc35)sc2-4)cc1
75,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(C=O)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1
76,[R14]C1([R14])c2cc3c(cc2-c2sc(-c4ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc21)C([R14])([R14])c1cc(-c2ccc(C=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc24)sc1-3
77,[R14]n1nc2c(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn([R14])nc56)ccc3-4)c2n1
78,[R14]n1nc2c(/C=C3\SC(=S)N(CC)C3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nn([R14])nc56)ccc3-4)c2n1
79,[R14]n1nc2c(C=C(C#N)C#N)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(C=C(C#N)C#N)c6nn([R14])nc56)ccc3-4)c2n1
80,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
81,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
82,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Cl)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(Cl)ccc4C2=C(C#N)C#N)sc1-3
83,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Br)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(Br)ccc4C2=C(C#N)C#N)sc1-3
84,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc23)cc1
85,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Br)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Br)ccc5C4=C(C#N)C#N)sc23)cc1
86,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(I)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(I)ccc5C4=C(C#N)C#N)sc23)cc1
87,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
88,*c1ccc(C2(c3ccc(*)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4c(*)c5c6c(sc5c(*)c4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(*)cc2)c2ccc(*)cc2)cc1
90,[R2]c1ccc(C2(c3ccc([R2])cc3)c3cc4c5cc6c(cc5n([R21])c4cc3-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([R2])cc2)c2ccc([R2])cc2)cc1
91,[R2]C1([R2])c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C([R2])([R2])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
92,[R4]C1([R4])c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C([R4])([R4])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
93,[R2]C1([R2])c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21
94,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1
95,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5cscc5C3=C(C#N)C#N)sc2-4)cc1
96,[R7]N1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N([R7])C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
97,[R1]N1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N([R1])C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
98,[R7]N1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N([R7])C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
99,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
100,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8c(F)cccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)sc23)cc1
101,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)cc1
102,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
103,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
104,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
105,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4c5c(sc34)-c3sc4c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc64)c3C5(c3ccc([R14])cc3)c3ccc([R14])cc3)-c3sc4c(sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc54)c32)cc1
106,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1
107,[R2]C1([R2])c2cc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)cc21
108,[R4]C1([R4])c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1C3([R4])[R4]
109,[R2]C1([R2])c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C([R2])([R2])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
110,[R7]c1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3[R7])nc2s1
111,[R7]c1cc(-c2ccc(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc3[R7])nc2s1
112,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R14])[R14])C([R14])([R14])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
113,[R14]C1([R14])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R14])[R14])C([R14])([R14])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
114,[R2]C1([R2])c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C([R14])([R14])c1cc2c(cc1-3)C([R2])([R2])c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2
115,[R4]N1C(=O)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)s3)c3c4c(cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)s5)c(c24)C1=O)C(=O)N([R4])C3=O
116,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
117,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
118,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1
119,[R24]c1ccc(C2(c3ccc([R24])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R24])cc2)(c2ccc([R24])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
120,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cccc(OC)c7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cccc(OC)c5C4=C(C#N)C#N)sc23)cc1
121,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1
122,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(OC)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(OC)ccc5C4=C(C#N)C#N)sc23)cc1
123,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(OC)cccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(OC)cccc5C4=C(C#N)C#N)sc23)cc1
124,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(C)sc(C)c7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(C)sc(C)c5C4=C(C#N)C#N)sc23)cc1
125,[R14]c1ccc(C2(c3ccc([R14])s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])s2)(c2ccc([R14])s2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)s1
126,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=O)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=O)sc2-4)cc1
127,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=C(C#N)C#N)sc2-4)cc1
128,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)/C6=C(/C#N)c5cccs5)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)/C5=C(/C#N)c3cccs3)sc2-4)cc1
129,[R14]c1ccc(C2(c3ccc([R14])[se]3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])[se]2)(c2ccc([R14])[se]2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)[se]1
130,[R2]C1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
131,[R2]C1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3([R2])[R2]
132,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nsnc35)sc2-4)cc1
133,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1
134,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)ccc3-c3cc4c(cc32)-c2ccc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2C4(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
135,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(-c4ncc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)ccc3-c3cc4c(cc32)-c2ccc(-c3ncc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2C4(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
136,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1
137,[R4]c1cc(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc([R14])cc1)c1ccc([R14])cc1)-c1sc(-c2sc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)cc2[R4])cc1C3(c1ccc([R14])cc1)c1ccc([R14])cc1
138,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6c5OCCO6)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5c3OCCO5)sc2-4)cc1
139,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6c5OCCCO6)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5c3OCCCO5)sc2-4)cc1
140,[R14]C1([R14])c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc21)C([R14])([R14])c1cc(/C=C2\C(=O)c4ccc(C)cc4C2=C(C#N)C#N)sc1-3
141,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccc(C)cc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5ccc(C)cc5C3=C(C#N)C#N)sc2-4)cc1
142,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c(c([R14])cc5c4cc([R14])c4c6c(sc45)-c4sc5cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc5c4C6(c4ccc([R14])cc4)c4ccc([R14])cc4)c32)cc1
143,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc6ccccc6cc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4cc5ccccc5cc4C2=C(C#N)C#N)sc1-3
144,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
145,[R4]C1([R4])c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)sc2-c2c1ccc1c3c(ccc21)C([R4])([R4])c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
146,[R14]C1([R14])c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C([R14])([R14])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
147,[R4]C1([R4])c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C([R4])([R4])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
148,[R2]Oc1ccc(C2(c3ccc(O[R2])cc3)c3cc4c5cc6c(cc5n([R2])c4cc3-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(O[R2])cc2)c2ccc(O[R2])cc2)cc1
149,[R4]N1C(=O)c2cccc3c(-c4ccc(-c5sc6c(-c7ccc([R14])s7)c(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N([R4])C9=O)s7)sc6c5-c5ccc([R14])s5)s4)ccc(c23)C1=O
